PERIODOS,NUM_MATERIAS,NUM_CREDITOS_MATRICULADOS,NUM_CREDITOS_APROBADOS,NUM_MATERIAS_APROBADAS,NUM_MATERIAS_PERDIDAS,NUM_R1,NUM_R2,NUM_R3,NUM_R3_BALANCEO,EFICIENCIA,PROMEDIO,GENERO_FEMENINO,GENERO_MASCULINO,GENERO_NO BINARIO,GENERO_NO REPORTA,ESTRATO_1,ESTRATO_2,ESTRATO_3,ESTRATO_4,ESTRATO_5,ESTRATO_6,ETIQUETA
1,5,14,0,0,5,0,0,0,0.0,0.0,0.075,0,1,0,0,1,0,0,0,0,0,1
1,5,14,0,1,4,0,0,0,0.0,0.0,1.525,0,1,0,0,1,0,0,0,0,0,1
15,63,218,167,50,13,5,4,2,0.0,0.5935608345246899,3.548266666666667,1,0,0,0,1,0,0,0,0,0,0
9,38,131,115,34,4,3,1,0,0.0,0.9008743306559572,3.251875,0,1,0,0,0,0,1,0,0,0,1
13,46,159,82,26,20,10,3,1,1.0,0.4774912555264733,2.8347692307692305,0,1,0,0,1,0,0,0,0,0,1
2,9,29,6,3,6,2,0,0,0.0,0.2710843373493975,1.2125,0,1,0,0,0,1,0,0,0,0,1
3,9,28,9,4,5,2,0,0,0.0,0.2409638554216866,1.9833333333333327,0,1,0,0,0,1,0,0,0,0,1
4,12,45,9,3,9,2,2,2,2.0,0.2371987951807228,1.850000000000001,0,1,0,0,1,0,0,0,0,0,1
14,61,223,162,46,15,6,4,3,0.0,0.4839819651566639,3.2802857142857142,1,0,0,0,0,1,0,0,0,0,0
2,12,32,32,12,0,0,0,0,0.0,0.9638554216867468,4.458,0,1,0,0,1,0,0,0,0,0,1
3,12,45,37,10,2,2,0,0,0.0,0.7797858099062918,3.3266666666666667,0,1,0,0,1,0,0,0,0,0,1
8,33,107,54,19,14,5,3,2,1.0,0.4489027538726333,2.310625,1,0,0,0,1,0,0,0,0,0,1
4,11,37,21,7,4,1,0,0,0.0,0.5233433734939759,2.38125,1,0,0,0,0,0,1,0,0,0,1
1,5,14,0,0,5,0,0,0,0.0,0.0,0.7750000000000018,0,1,0,0,1,0,0,0,0,0,1
2,8,28,0,0,8,4,0,0,0.0,0.0,0.1000000000000019,0,1,0,0,0,0,1,0,0,0,1
16,54,188,130,39,15,8,3,1,0.0,0.5198759155837468,3.285375,1,0,0,0,1,0,0,0,0,0,0
1,5,14,0,1,4,0,0,0,0.0,0.0,0.6250000000000018,0,1,0,0,1,0,0,0,0,0,1
9,47,149,137,43,4,3,0,0,0.0,0.8397213191389897,3.834111111111112,0,1,0,0,1,0,0,0,0,0,0
2,9,33,13,4,5,2,0,0,0.0,0.3765060240963854,2.475000000000001,0,1,0,0,1,0,0,0,0,0,1
2,8,25,9,3,5,2,0,0,0.0,0.3162650602409638,2.325,1,0,0,0,0,1,0,0,0,0,1
10,34,105,74,26,6,3,1,0,0.0,0.5829126027921208,3.2894000000000005,0,1,0,0,1,0,0,0,0,0,1
16,69,241,173,51,18,12,4,2,0.0,0.5455403605347129,3.4053125,1,0,0,0,1,0,0,0,0,0,0
11,50,173,165,48,2,2,0,0,0.0,0.8908034736347988,4.011545454545455,1,0,0,0,1,0,0,0,0,0,0
10,43,133,133,43,0,0,0,0,0.0,0.7045969592656339,4.178,1,0,0,0,1,0,0,0,0,0,0
3,11,37,9,4,7,2,2,0,0.0,0.2710843373493975,1.4666666666666668,1,0,0,0,1,0,0,0,0,0,1
2,10,29,17,7,3,1,0,0,0.0,0.5572289156626505,2.925,0,1,0,0,1,0,0,0,0,0,1
11,51,164,160,50,1,1,0,0,0.0,0.888227249809944,4.276909090909092,1,0,0,0,0,1,0,0,0,0,0
11,53,183,172,50,3,2,0,0,0.0,0.8767182069482178,3.9047272727272726,0,1,0,0,1,0,0,0,0,0,0
3,9,26,10,3,6,0,0,0,0.0,0.287817938420348,2.3500000000000005,1,0,0,0,0,1,0,0,0,0,1
2,11,25,21,10,1,1,0,0,0.0,0.6174698795180722,3.750000000000001,0,1,0,0,1,0,0,0,0,0,1
16,67,233,165,48,19,8,4,1,0.0,0.5256696376331165,3.1253125,0,1,0,0,1,0,0,0,0,0,1
13,49,174,168,47,2,1,0,0,0.0,0.8203036408550772,3.429384615384616,0,1,0,0,0,0,1,0,0,0,0
2,9,29,6,3,6,1,0,0,0.0,0.2710843373493975,2.1375,0,1,0,0,1,0,0,0,0,0,1
4,16,55,43,13,3,2,1,0,0.0,0.7065763052208834,3.277,1,0,0,0,1,0,0,0,0,0,1
4,20,65,25,10,10,4,1,1,0.0,0.4028614457831325,2.2070000000000007,0,1,0,0,1,0,0,0,0,0,0
9,48,157,110,36,12,4,2,1,0.0,0.638065489471112,3.130888888888889,1,0,0,0,0,1,0,0,0,0,0
1,5,14,3,2,3,0,0,0,0.0,0.180722891566265,2.4,1,0,0,0,0,0,1,0,0,0,1
8,44,137,102,35,9,4,3,1,0.0,0.7269793459552495,3.398625,0,1,0,0,1,0,0,0,0,0,0
12,52,172,172,51,1,0,0,0,0.0,0.8715603757019418,3.943,0,1,0,0,1,0,0,0,0,0,0
3,14,49,25,8,6,2,2,0,0.0,0.4585006693440427,2.6616666666666675,1,0,0,0,0,1,0,0,0,0,1
21,58,208,126,36,22,12,6,3,0.0,0.3749400041180386,2.8875238095238096,0,1,0,0,1,0,0,0,0,0,0
5,25,82,78,19,2,1,0,0,0.0,0.8877510040160642,3.758000000000001,1,0,0,0,1,0,0,0,0,0,0
7,26,92,21,8,18,7,5,3,3.0,0.2289156626506023,1.6225714285714292,0,1,0,0,0,1,0,0,0,0,1
2,9,29,21,7,2,0,0,0,0.0,0.7379518072289156,3.137500000000002,1,0,0,0,1,0,0,0,0,0,1
2,9,21,10,5,4,0,0,0,0.0,0.4518072289156626,3.021000000000001,0,1,0,0,1,0,0,0,0,0,1
2,8,29,29,8,0,0,0,0,0.0,0.8584337349397589,3.9250000000000007,0,1,0,0,0,1,0,0,0,0,1
1,4,14,0,0,4,0,0,0,0.0,0.0,0.55,0,1,0,0,1,0,0,0,0,0,1
6,25,88,40,13,12,5,1,1,0.0,0.4263721552878178,2.563666666666667,1,0,0,0,0,1,0,0,0,0,0
1,5,14,0,0,5,0,0,0,0.0,0.0,0.0749999999999991,1,0,0,0,1,0,0,0,0,0,1
17,56,194,161,48,8,8,0,0,0.0,0.61802924294847,3.5808235294117647,0,1,0,0,1,0,0,0,0,0,1
1,4,14,0,0,4,0,0,0,0.0,0.0,1.6,0,1,0,0,1,0,0,0,0,0,1
9,34,120,106,30,4,1,0,0,0.0,0.8534734174794415,1.93525,1,0,0,0,1,0,0,0,0,0,1
6,30,94,90,29,1,1,0,0,0.0,0.9016064257028112,4.300833333333334,0,1,0,0,1,0,0,0,0,0,0
1,4,14,0,0,4,0,0,0,0.0,0.0,0.0500000000000017,0,1,0,0,0,0,1,0,0,0,1
2,5,14,10,3,2,0,0,0,0.0,0.4518072289156626,1.9500000000000008,0,1,0,0,1,0,0,0,0,0,1
8,36,120,112,34,2,1,1,0,0.0,0.8431583476764198,3.5910000000000006,0,1,0,0,0,1,0,0,0,0,0
4,17,49,25,11,6,3,0,0,0.0,0.3953313253012047,3.2775000000000003,1,0,0,0,1,0,0,0,0,0,1
2,9,28,6,3,6,2,0,0,0.0,0.180722891566265,1.6,0,1,0,0,1,0,0,0,0,0,1
2,8,29,21,6,2,2,0,0,0.0,0.4969879518072289,3.4125000000000014,0,0,1,0,1,0,0,0,0,0,0
10,50,163,158,49,1,0,0,0,0.0,0.9337970931344424,4.3913,0,1,0,0,1,0,0,0,0,0,0
8,34,108,84,28,7,5,1,0,0.0,0.5621055651176132,3.3937500000000003,0,1,0,0,1,0,0,0,0,0,0
14,53,178,170,51,2,2,0,0,0.0,0.697593893484599,4.242714285714285,1,0,0,0,1,0,0,0,0,0,0
11,52,187,166,47,5,5,0,0,0.0,0.8266987667316253,3.733454545454545,1,0,0,0,1,0,0,0,0,0,0
2,10,31,13,6,4,1,0,0,0.0,0.4969879518072289,3.0000000000000018,1,0,0,0,0,1,0,0,0,0,0
8,38,110,76,27,10,5,0,0,0.0,0.5288833907056798,3.0711250000000003,1,0,0,0,0,1,0,0,0,0,1
21,76,267,175,53,23,12,6,5,0.0,0.464958707664049,3.041047619047619,0,1,0,0,0,0,1,0,0,0,0
1,4,14,3,1,3,0,0,0,1.0,0.180722891566265,1.875000000000004,0,0,1,0,0,1,0,0,0,0,1
8,19,64,37,10,9,2,1,1,0.0,0.3988005593803786,2.55625,1,0,0,0,1,0,0,0,0,0,1
1,5,14,6,2,3,0,0,0,1.0,0.36144578313253,2.6500000000000017,0,1,0,0,1,0,0,0,0,0,1
3,11,41,6,2,9,3,1,0,0.0,0.2208835341365461,1.1833333333333342,0,1,0,0,0,1,0,0,0,0,1
1,4,14,6,2,2,0,0,0,0.0,0.36144578313253,2.3,0,1,0,0,0,1,0,0,0,0,1
6,14,45,33,10,4,2,0,0,0.0,0.3619477911646585,2.725,1,0,0,0,1,0,0,0,0,0,1
6,14,49,33,10,4,1,1,0,0.0,0.4636880856760374,2.743,0,1,0,0,0,1,0,0,0,0,1
13,37,132,97,27,10,5,1,0,0.0,0.5153258465352997,3.099307692307692,1,0,0,0,1,0,0,0,0,0,1
8,25,90,42,13,12,4,4,2,1.0,0.3963353413654618,2.43225,0,1,0,0,1,0,0,0,0,0,1
14,56,197,161,47,9,7,1,0,0.0,0.6637390506796702,3.2797142857142854,1,0,0,0,1,0,0,0,0,0,0
1,4,14,0,0,4,0,0,0,0.0,0.0,0.6,0,1,0,0,0,1,0,0,0,0,1
1,4,14,3,1,3,0,0,0,1.0,0.180722891566265,2.0500000000000043,1,0,0,0,1,0,0,0,0,0,1
1,4,14,10,3,1,0,0,0,0.0,0.6024096385542168,3.450000000000004,0,1,0,0,1,0,0,0,0,0,0
10,38,129,87,27,11,5,2,1,1.0,0.6674005545993498,3.043,0,1,0,0,1,0,0,0,0,0,1
12,52,175,171,51,1,1,0,0,0.0,0.8684880213494671,4.157666666666667,0,1,0,0,1,0,0,0,0,0,0
2,5,18,10,3,2,0,0,0,0.0,0.4518072289156626,1.7000000000000022,1,0,0,0,1,0,0,0,0,0,0
2,9,29,6,3,6,2,0,0,0.0,0.2710843373493975,1.6125,1,0,0,0,0,0,1,0,0,0,1
3,12,40,14,5,7,3,1,0,0.0,0.4350736278447121,2.0306666666666664,0,1,0,0,1,0,0,0,0,0,1
4,17,57,37,12,5,3,0,0,0.0,0.5635040160642569,2.94325,0,1,0,0,0,1,0,0,0,0,1
18,61,214,163,48,13,8,2,2,0.0,0.4649947439930902,3.036833333333333,1,0,0,0,1,0,0,0,0,0,0
4,15,54,22,6,9,4,1,0,0.0,0.4384203480589022,2.0866666666666664,0,1,0,0,1,0,0,0,0,0,1
2,9,30,22,6,3,1,0,0,0.0,0.6325301204819276,3.350000000000001,0,1,0,0,0,1,0,0,0,0,1
7,39,123,107,35,4,4,0,0,0.0,0.8418162445701171,4.035285714285715,0,1,0,0,1,0,0,0,0,0,0
7,31,107,91,27,4,3,1,0,0.0,0.6891853126792885,3.531857142857143,1,0,0,0,0,1,0,0,0,0,0
1,4,14,6,2,2,0,0,0,0.0,0.36144578313253,2.970000000000004,0,1,0,0,0,0,1,0,0,0,0
3,15,49,41,13,2,0,0,0,0.0,0.8868808567603748,3.033333333333333,0,1,0,0,1,0,0,0,0,0,1
5,26,88,68,21,5,3,1,0,0.0,0.8355421686746987,3.499000000000001,1,0,0,0,1,0,0,0,0,0,0
13,32,116,84,24,8,5,2,1,0.0,0.5078248134318569,3.1359230769230773,0,1,0,0,0,1,0,0,0,0,0
18,61,217,156,45,16,7,2,0,0.0,0.6605794793398148,2.740666666666667,0,1,0,0,0,1,0,0,0,0,0
1,4,14,0,0,4,0,0,0,0.0,0.0,0.0750000000000035,0,1,0,0,0,1,0,0,0,0,1
2,10,28,0,1,9,4,0,0,0.0,0.0,0.7125,0,1,0,0,0,1,0,0,0,0,1
1,5,14,6,3,2,0,0,0,0.0,0.36144578313253,3.325000000000003,0,1,0,0,0,0,1,0,0,0,1
3,10,33,21,7,3,1,0,0,0.0,0.5120481927710843,3.2500000000000013,0,1,0,0,0,1,0,0,0,0,1
9,33,108,94,30,3,2,0,0,0.0,0.7163216357493466,3.509166666666667,0,1,0,0,1,0,0,0,0,0,0
16,61,211,165,50,11,7,2,0,0.0,0.5485878276258547,3.20775,0,1,0,0,0,1,0,0,0,0,1
11,55,183,165,49,6,3,0,0,0.0,0.7672616874424102,3.8318181818181816,1,0,0,0,1,0,0,0,0,0,0
2,8,25,6,3,5,2,0,0,0.0,0.2710843373493975,1.1999999999999995,1,0,0,0,1,0,0,0,0,0,1
3,5,16,13,4,1,1,0,0,0.0,0.3078982597054885,3.083333333333334,0,1,0,0,1,0,0,0,0,0,1
1,4,14,3,1,3,0,0,0,0.0,0.180722891566265,1.5250000000000037,1,0,0,0,1,0,0,0,0,0,1
11,54,183,171,51,3,3,0,0,0.0,0.9002102467327,3.948363636363637,0,1,0,0,0,1,0,0,0,0,0
10,48,152,132,43,5,4,1,0,0.0,0.7183185121438134,3.8074,1,0,0,0,1,0,0,0,0,0,0
10,50,167,167,50,0,0,0,0,0.0,0.8897375215146297,4.2856000000000005,0,1,0,0,0,1,0,0,0,0,0
18,62,217,173,51,11,8,2,1,0.0,0.5399447511129533,3.697166666666666,1,0,0,0,1,0,0,0,0,0,0
16,62,215,167,50,12,6,4,2,0.0,0.4679565592122067,3.3926875,0,1,0,0,1,0,0,0,0,0,0
1,4,14,0,0,4,0,0,0,0.0,0.0,0.0499999999999973,0,1,0,0,0,0,1,0,0,0,1
15,59,201,167,51,8,4,3,1,0.0,0.7193620636391721,3.6494,0,1,0,0,0,0,1,0,0,0,0
1,4,14,6,2,2,0,0,0,0.0,0.36144578313253,2.950000000000004,0,1,0,0,1,0,0,0,0,0,0
1,4,14,0,0,4,0,0,0,1.0,0.0,0.6250000000000018,0,1,0,0,1,0,0,0,0,0,1
1,4,14,0,0,4,0,0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1
13,55,196,168,48,7,8,0,0,0.0,0.7040193227635303,3.500615384615384,0,1,0,0,0,0,1,0,0,0,0
4,16,61,13,4,12,4,2,2,2.0,0.3024598393574296,1.95125,0,1,0,0,1,0,0,0,0,0,1
3,14,44,9,5,9,4,2,0,0.0,0.2409638554216866,2.033333333333333,0,1,0,0,0,1,0,0,0,0,1
1,3,10,6,2,1,0,0,0,0.0,0.36144578313253,3.600000000000002,0,1,0,0,0,0,1,0,0,0,1
12,48,169,165,47,1,0,0,0,0.0,0.8911745466715345,3.904083333333334,1,0,0,0,1,0,0,0,0,0,1
8,37,124,92,29,8,7,1,0,0.0,0.4894757601835915,3.481625,0,1,0,0,1,0,0,0,0,0,0
4,17,58,23,8,9,4,1,0,0.0,0.4254518072289155,1.6500000000000004,0,1,0,0,1,0,0,0,0,0,1
1,5,14,0,0,5,0,0,0,0.0,0.0,0.8000000000000009,0,1,0,0,0,0,1,0,0,0,1
3,10,33,17,5,5,1,0,0,0.0,0.4852744310575635,2.555333333333334,0,1,0,0,0,1,0,0,0,0,1
4,13,45,21,7,6,2,2,1,1.0,0.3727409638554216,2.61875,1,0,0,0,1,0,0,0,0,0,1
2,7,21,10,4,3,0,0,0,0.0,0.4518072289156626,1.8375,1,0,0,0,0,1,0,0,0,0,1
1,4,14,3,1,3,0,0,0,1.0,0.180722891566265,1.825,0,1,0,0,1,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1
1,4,14,0,0,4,0,0,0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1
14,55,174,89,30,25,12,3,2,0.0,0.3750576016066548,2.698857142857143,0,1,0,0,0,0,1,0,0,0,0
1,3,10,0,0,3,0,0,0,0.0,0.0,1.000000000000004,0,1,0,0,1,0,0,0,0,0,1
2,7,18,10,5,2,0,0,0,0.0,0.4518072289156626,3.2875000000000005,1,0,0,0,1,0,0,0,0,0,1
2,10,29,17,7,3,0,0,0,0.0,0.677710843373494,2.5875000000000004,1,0,0,0,1,0,0,0,0,0,1
4,12,41,13,5,7,2,2,1,1.0,0.3024598393574296,1.65625,1,0,0,0,1,0,0,0,0,0,1
1,5,14,14,5,0,0,0,0,0.0,0.8433734939759036,4.050000000000002,1,0,0,0,1,0,0,0,0,0,1
1,4,14,0,0,4,0,0,0,0.0,0.0,0.1000000000000017,0,1,0,0,1,0,0,0,0,0,1
1,4,14,0,0,4,0,0,0,1.0,0.0,1.475,0,1,0,0,0,1,0,0,0,0,1
15,49,165,114,35,14,5,2,0,0.0,0.5838142064475971,3.032285714285714,0,1,0,0,1,0,0,0,0,0,1
